,,,MIS  ,,BO/CO,,,
Symbol,BSE Symbol,Var+ ELM+Adhoc margin,MIS Margin(%),MIS Multiplier,BO/CO Margin(%),CO Upper Trigger,BO/CO Margin(%),BO/CO Multiplier
GODREJPROP,533150,24.90,12.45,8.03,6.23,10.00,7.47,13.39
GPPL,533248,20.08,10.04,9.96,5.02,10.00,6.02,16.60
GRASIM,500300,25.13,12.57,7.96,6.28,10.00,7.54,13.26
GREAVESCOT,501455,19.24,9.62,10.40,5.00,10.00,5.00,20.00
GREENPLY,526797,22.15,11.08,9.03,5.54,10.00,6.65,15.05
GRINDWELL,506076,15.28,7.64,13.09,5.00,10.00,5.00,20.00
GRSE,542011,23.42,11.71,8.54,5.86,10.00,7.03,14.23
GSFC,500690,20.52,10.26,9.75,5.13,10.00,6.16,16.24
GSPL,532702,17.87,8.94,11.19,5.00,10.00,5.00,20.00
GUJGASLTD,539336,17.78,8.89,11.25,5.00,10.00,5.00,20.00
GULFOILLUB,538567,20.39,10.20,9.81,5.10,10.00,6.12,16.35
HAL,541154,22.03,11.02,9.08,5.51,10.00,6.61,15.13
HAPPSTMNDS,543227,12.50,6.25,16.00,5.00,10.00,5.00,20.00
HAVELLS,517354,17.24,8.62,11.60,5.00,10.00,5.00,20.00
HCLTECH,532281,18.38,9.19,10.88,5.00,10.00,5.00,20.00
HDFC,500010,25.87,12.94,7.73,6.47,10.00,7.76,12.88
HDFCAMC,541729,19.48,9.74,10.27,5.00,10.00,5.00,20.00
HDFCBANK,500180,16.89,8.45,11.84,5.00,10.00,5.00,20.00
HDFCLIFE,540777,22.35,11.18,8.95,5.59,10.00,6.71,14.91
HEG,509631,26.60,13.30,7.52,6.65,10.00,7.98,12.53
HEIDELBERG,500292,19.22,9.61,10.41,5.00,10.00,5.00,20.00
HEROMOTOCO,500182,21.00,10.50,9.52,5.25,10.00,6.30,15.87
HIKAL,524735,26.59,13.30,7.52,6.65,10.00,7.98,12.54
HINDALCO,500440,27.26,13.63,7.34,6.82,10.00,8.18,12.23
HINDPETRO,500104,34.70,17.35,5.76,8.68,10.00,10.41,9.61
HINDUNILVR,500696,15.30,7.65,13.07,5.00,10.00,5.00,20.00
HONAUT,517174,19.87,9.94,10.07,5.00,10.00,5.00,20.00
HONDAPOWER,522064,18.44,9.22,10.85,5.00,10.00,5.00,20.00
HSCL,500184,28.55,14.28,7.01,7.14,10.00,8.57,11.68
IBULHSGFIN,535789,42.59,21.30,4.70,10.65,10.00,12.78,7.83
ICICIBANK,532174,23.41,11.71,8.54,5.85,10.00,7.02,14.24
ICICIBANKN,Not listed in BSE,16.06,8.03,12.45,5.00,10.00,5.00,20.00
ICICIGI,540716,20.70,10.35,9.66,5.18,10.00,6.21,16.10
ICICIPRULI,540133,34.37,17.19,5.82,8.59,10.00,10.31,9.70
ICRA,532835,15.28,7.64,13.09,5.00,10.00,5.00,20.00
IDFCFIRSTB,539437,47.10,23.55,4.25,11.78,10.00,14.13,7.08
IEX,540750,18.60,9.30,10.75,5.00,10.00,5.00,20.00
IGL,532514,19.08,9.54,10.48,5.00,10.00,5.00,20.00
IIFL,532636,29.16,14.58,6.86,7.29,10.00,8.75,11.43
IIFLWAM,542772,19.62,9.81,10.19,5.00,10.00,5.00,20.00
INDHOTEL,500850,22.48,11.24,8.90,5.62,10.00,6.74,14.83
INDIAGLYCO,500201,23.83,11.92,8.39,5.96,10.00,7.15,13.99
INDIANB,532814,24.48,12.24,8.17,6.12,10.00,7.34,13.62
INDIGO,539448,28.12,14.06,7.11,7.03,10.00,8.44,11.85
INDOSTAR,541336,23.18,11.59,8.63,5.80,10.00,6.95,14.38
INDUSINDBK,532187,51.79,25.90,3.86,12.95,10.00,15.54,6.44
INFY,500209,18.08,9.04,11.06,5.00,10.00,5.00,20.00
INSECTICID,532851,22.97,11.49,8.71,5.74,10.00,6.89,14.51
IOC,530965,16.93,8.47,11.81,5.00,10.00,5.00,20.00
IPCALAB,524494,20.79,10.40,9.62,5.20,10.00,6.24,16.03
IRCON,541956,21.06,10.53,9.50,5.27,10.00,6.32,15.83
IRCTC,542830,19.72,9.86,10.14,5.00,10.00,5.00,20.00
ISEC,541179,24.48,12.24,8.17,6.12,10.00,7.34,13.62
ITC,500875,16.47,8.24,12.14,5.00,10.00,5.00,20.00
ITI,523610,29.68,14.84,6.74,7.42,10.00,8.90,11.23
JAGRAN,532705,18.05,9.03,11.08,5.00,10.00,5.00,20.00
JAICORPLTD,512237,24.89,12.45,8.04,6.22,10.00,7.47,13.39
JCHAC,523398,21.81,10.91,9.17,5.45,10.00,6.54,15.28
JINDALSAW,500378,25.27,12.64,7.91,6.32,10.00,7.58,13.19
JKCEMENT,532644,17.94,8.97,11.15,5.00,10.00,5.00,20.00
JKLAKSHMI,500380,19.78,9.89,10.11,5.00,10.00,5.00,20.00
JKPAPER,532162,24.28,12.14,8.24,6.07,10.00,7.28,13.73
JKTYRE,530007,22.47,11.24,8.90,5.62,10.00,6.74,14.83
JMFINANCIL,523405,22.49,11.25,8.89,5.62,10.00,6.75,14.82
JSWSTEEL,500228,26.27,13.14,7.61,6.57,10.00,7.88,12.69
JTEKTINDIA,520057,28.10,14.05,7.12,7.03,10.00,8.43,11.86
JUBLFOOD,533155,41.94,20.97,4.77,10.49,10.00,12.58,7.95
